【央美院长谈国漫创作：#国漫应挖掘本土资源#】22日，中国美协主席范迪安表示，中国动漫艺术在主题和风格上都要走出中国道路#国漫要走出中国道路#。动漫发展一定要立足中国的大地。要表现中国主题，在具体的创作风格上，需要一方面吸收外来经验，一方面挖掘我们自身的本土资源。数千年的美术传统中既有文人的艺术，更有非常丰富的民间艺术，需要对其做创造性转化，提炼出大众特别是少儿喜欢的形象。#爱聊20两会# 人民日报的微博视频,2021/5/23 9:43,"评论
14387",还是逃不出动画是给小孩儿看的这个思维,就凭各种限制，国漫就不该崛起。,得了吧，就中国一部分家长 这不行那不行,广电先放宽限制再说吧！,提炼出大众特别是少儿喜欢的形象，这句话你们看不明白吗？还在这崛起？真是活在梦里。我们人均巨婴。,谁知道为什么少儿频道最近十年突然拉胯的原因,不要让腾讯垄断！救救国漫！,先把故事讲好吧，自圆其说都做不到，观众看着闹心啊,特别是“少儿”，看到没，这就是国家层面对动画行业的定位。甚至从“国漫”这个不知所谓的用语都可见一斑，没救了，早就完蛋了,希望国漫可以细化市场，针对不同人群制作不同的作品，避免国漫过于低龄化,你看哪个产业是倒退发展的，那一定是中国动漫。现在除了几部优秀的除外 其他不是翻拍就是抄袭，而且质量比不上80-90年代的老一辈动画家作品。,想想早期的虹猫蓝兔很优秀啊，每个人都观点鲜明，内容上也带有我们自己国家的文化特色，侠之一字，家国大义,废话连篇...只知道“少儿喜欢”就别想有什么长远发展和“走出去”了,你告诉我《秦时明月》为啥过不了审,少儿，呵呵，多少好动漫毁在了少儿家长手里,分级吧，不要老是限制啦，限那么死，怎么创作，只能老是炒冷饭了。。。。国内又不是只有小孩看动画片。。。。。,这几年国漫发展的挺好的 支持,崛你妈，各种不给画，福利也不行,什么时候把广电封杀了再说吧,跳不出“动画片=儿童片”这个模式，动漫不会有大发展。建议让国漫自由创作发展十年，让国漫人自己摸索 。
,,,,,,,,,,,,,,,,,,,,,,
#全国两会#【习近平参加内蒙古代表团审议】22日下午，中共中央总书记、国家主席、中央军委主席习近平参加他所在的十三届全国人大三次会议内蒙古代表团审议。,2021/5/22 17:55,"评论
314",大大辛苦了,我大内蒙,大大辛苦了,支持大大,,好棒哦～内蒙人骄傲,支持,为全国人民谋幸福,,祝顺利~,,,[加油][加油][加油][加油][加油][加油],,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
【#乱港头目黎智英申请离港被拒#：此前多次申请均被否】据港媒报道，目前有4宗刑事案件在身的黎智英，22日早到香港高等法院申请更改保释条件，希望法官批准他在保释期间离港。不过，法官表示黎智英没有提供具体离港的计划，很难作出考虑，随后黎智英一方决定暂时搁置申请。海客新闻的秒拍视频,2021/5/22 17:25,"评论
3624",乱港分子一个也别漏网！！！,牢底坐穿算了,嘻嘻想跑？没那么容易吧,装了比还想跑,跑不掉的,他一点悔改之心都没有，这种人放出来，会不会再次引起暴乱？,这家伙自己主动增加保释金急着逃走，太好笑了。,被拒是为你好，不晓得外面新冠多严重吗？安心坐牢吧,先有一国[加油][加油][加油][加油]才有两制！！！,搞完事情就想跑，哪有这么容易的事情!,别走了，留下来吃牢饭吧,不能放了这个乱港的老狗,中央是时候展示国家的手段了，乱港份子通通惩治。[加油],它怕了他怕了他怕了他怕了,一定要判刑几年，没收一切财产，送去罗布泊,看好你哦牢底坐穿,要跑？？？？？关门打狗,活该,想跑？？做梦吧！,
,,,,,,,,,,,,,,,,,,,,,,
【快如幻影！#小学生世界冠军教兵哥哥跳绳#】七星小学跳绳队在教练带领下诞生20多个世界冠军，打破10多项世界纪录。近日，他们受邀来到陆军某综合训练基地，现场表演花式跳绳绝技，分享训练经验技巧，引发兵哥哥们的热烈掌声。网友：#小学生世界冠军现场授课#，我也想去央视军事的微博视频,2021/5/22 16:31,"评论
479",眼花缭乱，先这样，再这样，跨跨跨跨跨,旁边甩绳的也是技术活,小朋友太厉害了吧,我要能跳成这样，我能瘦成一道闪电！,有绳子就跟没绳子一样…哈哈哈，太厉害了。,佛山无影脚～,我一个算命的，都惊呆了,太强了这么年轻就是世界冠军了，未来可期！,敬佩这个学校 这些教练 这群孩子 还有这项运动,我空抡绳子都没人家孩子抡得好，我不拿绳空跳都没人家孩子跳得快，我爬地上就再也不想起来，我坐地上就想马上躺下。,真的好快啊,真的好厉害呀,兵哥哥：你敢不敢和我比比别的,少年优秀啊 最后坐上了兵哥哥的车！嫉妒啊我去练跳绳,优秀厉害的人儿遇到优秀厉害的人儿 画面挺好,厉害了，少年未来可期！,厉害了,看晕了，速度太快了,棒棒哒,66666666眼花缭乱好强好强好强
,,,,,,,,,,,,,,,,,,,,,,
恭喜@塔地磨yeah 等8名用户获得【I Do 戒指】。微博官方唯一抽奖工具@微博抽奖平台 对本次抽奖进行监督，结果公正有效。公示链接：微博抽奖平台,2021/5/22 14:52,"评论
240",没见过抽奖微博，只见过开奖微博的还有人吗？,还好我没中，不然送给谁,为啥我都不知道抽奖了,我都不知道,之前抽奖不给了吗,恭喜恭喜！幸运,恭喜恭喜,刚知道就结束了,哇哇哇祝福祝福 我不羡慕,恭喜,抽奖微博看不到 中奖微博倒是一条没落下,恭喜,恭喜呀,恭喜,恭喜恭喜,啥时候抽奖的啊,？？？？？？啥时候的抽奖,我都不知道有这个奖,我不配，打扰了,恭喜恭喜！中奖绝缘体来了
,,,,,,,,,,,,,,,,,,,,,,
【#3分钟回看政府工作报告#：这些话暖心又给力】今年#政府工作报告#，你对哪句话印象深刻？①能在较短时间内有效控制疫情，十分不易、成之惟艰；②生命至上，这是必须承受也是值得付出的代价；③坚决把减税降费政策落到企业，留得青山，赢得未来；④14亿中国人的饭碗，我们有能力也务必牢牢端在自己手中…更多↓↓ 人民日报的微博视频,2021/5/22 14:01,"评论
1254",14亿人民一起加油[加油],留得青山，赢得未来！,生命至上，这是必须承受也是值得付出的代价,总理的政府工作报告让人感动，有这样的政府人民岂会不安心,留得青山，赢得未来！,生命至上，这是必须承受也是值得付出的代价。祖国加油，我爱你。,生命至上,留得青山，赢得未来。,感谢我能生在中国 感谢我能赶上这个年代,好暖心，好可爱的总理,国家给什么样的政策，都要靠自己去努力，怨谁都没用。,生命至上,加油 绿水青山就是金山银山,走走过场，之后依然，年年如此。,生命至上，感谢党，感谢国家，只要我们十四亿携起手来一定能渡过难关,光明的未来,暖心又给力！,生命至上！愿我敬爱的祖国繁荣昌盛,落到实处，不打折扣,
,,,,,,,,,,,,,,,,,,,,,,
【#农业部部长呼吁多买贫困地区农产品#，爱心消费】农业部部长韩长赋在首场部长通道上说，现在没有种不出来的东西，只有卖不掉的东西。要让贫困地区农产品出村进城，不仅卖得出去，还要卖个好价钱。把批发市场、电商平台和贫困地区联系起来，#农业部部长呼吁爱心消费#，社会各方面多买贫困地区农产品。 人民日报的微博视频,2021/5/22 11:45,"评论
937",只买优质的性价比高的产品，我的钱也不是大风挂来的。,买过一次公益助农的梨，买了一整箱，价格是市价两倍多。梨子又小又酸就算了，结果打开包装发现两层的梨只有上面一层是满的，下面一层只放了一半从此再不买爱心助农的东西,上次淘宝助农，我们这儿2块钱一斤的藕，网上卖5块，我也不是慈善家啊！同等价位，我倒是可以支持支持！,以购代捐，打通贫困地区农产品销路最后一公里,啊已经买了好几次了！又能助农又能买到优质产品我觉得很好！,买了好几次了，真的很不错！加油！,助农公益我们一直在坚持,支持助农脱贫！,支持！可以多关注助农直播活动，尽自己的绵薄之力帮助贫困地区的人民,刚刚才买了一点，买一点，卖不掉的就少一点,买了好多啦，物美价廉，继续支持,今年买了好几次助农食品，可以帮助到农民很开心，力所能及处，人人互助时！,今年是脱贫攻坚最后一年，疫情期间许多农产品销售受阻碍，希望大家多多宣传购买，国家也牵头了各种农产品直播带货。国家发展复兴需要每个人支持。,好的，一直都在支持的。会继续,奉献爱心公益助农是好事，在力所能及的范围内我和家人也都有按需购买。但是质量真的有好有坏参差不齐。所以也希望所有助农产品都能真的做到保质保量，价格合理，不希望有些比自家超市更贵的农产品买回来后，却让人感觉自己的爱心白白被辜负，呼吁的同时也把把质量和价格关吧。,不是卖不出去，而是流通和渠道加价太多了，到消费者手里价格翻了几番，钱都被中间商赚了，农民拿到手的太少了，比如亲身经历，五一去昆明，千禧小西红柿在昆明5元1kg，在我们这里20元500g，这是什么加价的概念！！！！！！,可以买 非常提倡买 但希望保证基本质量,买了好多，兰州百合，湖北武昌鱼，佤寨蜂蜜，品质都特别好，我爸妈都爱吃,,
