"【#甘肃新增11例境外输入确诊病例#】3月4日20时至3月5日20时，甘肃本地无新增病例。截止3月5日20时，甘肃本地累计报告新型冠状病毒肺炎确诊病例91例，累计治愈出院87例，累计死亡病例2例。现有2例在定点医院进行隔离治疗，其中兰州市1例、定西市1例。甘肃本地目前无疑似病例。目前，甘肃本地累计追踪到密切接触者4337人，已解除医学观察4259人，其余78人正在接受医学观察。
3月2日20时至3月5日20时，有311人分别乘商业包机由伊朗到达兰州，均已全部隔离。3月5日新增11例境外输入确诊病例，均在省级定点医院隔离治疗，病情平稳。新增境外输入密切接触者300人，其中38人在省级定点医院隔离留观，262人在集中隔离点隔离，正在进一步进行医学检测检查。（央视）",2020/3/5 23:13,"评论
2026",怎么新增这么多,顶住甘肃,请大家重视！,甘肃人民都惊呆了。。。,没关系不要害怕，这批人是包机回来直接就在兰州的一个新区集中隔离了，新区离市区挺远的，没有传播病毒。华侨们都是为了回国得到更好的治疗，可以理解。点对点转移肯定是比单独跑回来好得多,纪念伟大的无产阶级革命家、人民敬爱的周总理#纪念周恩来总理诞辰122周年#,甘肃马上就要交卷了，结果一翻卷子，怎么还有附加题！！！！,周总理诞辰不值得一条微博吗,问问自己，还有良心吗？还记得新中国的首位总理吗,我求求你发一条周总理的微博吧,周总理诞辰啊！,问你为什么不发周总理你还删评？真觉得自己是个东西了？,建议直接改名资本日报,快零点了您也千万坚持住不要发周总理的诞辰不然下次不好用数典忘祖来骂你,周总理诞辰122周年—— “没有伟大人物出现的民族，是可怜的生物植群；有了伟大人物出现而不知崇敬爱戴的国家，是没有希望的奴隶之邦。”,纪念伟大的无产阶级革命家、人民敬爱的周总理#纪念周恩来总理诞辰122周年#,#天津60个国企混改项目股权拍卖#  #中国将全面开放油气勘查开采市场# 稀土到油气，教育到医疗，食盐到自来水！无论咋改革要警惕国际经济财阀通过私有资本金融大亨掌握国企垄断资源，我国是公有制为主体公有制要控制国家经济命脉警惕走90年代苏俄“500天计划”的老路从超级大国变为乞丐大国,他们是看中中国的医疗制度才回来的吗？耐人寻味,,
【#美国新增4名死亡病例#，#美国新冠肺炎总病例数达96人#】据美国华盛顿州公共卫生部门透露，该州2日新增4起新冠肺炎死亡病例。截至3月2日下午，全美已有6人死于新冠肺炎，全部来自华盛顿州。全美新冠肺炎总病例数达到96例，其中武汉撤侨人员和钻石公主号邮轮乘客共发现48例，其余病例是在美国境内发现的。目前，全美有10个州发现新冠肺炎患者，分别是亚利桑那州、加利福尼亚州、佛罗里达州、伊利诺伊州、马萨诸塞州、俄勒冈州、罗德岛州、华盛顿州、威斯康星州和纽约州。（人民日报记者张梦旭）,2020/3/3 6:41,"评论
3191",一个月前，我盼望着中国不要全红。现在，我盼望着全世界不要全红！注意反向输入病例，全国战疫的结果不能最后功亏一篑！！不然会伤了我们大家的心！！！,第一时间隔离从国外回来人员，我们人人出门一定戴口罩，一直戴到夏天就不会反扑，我们一起加油！,这么快的吗？,中国加油 世界加油 都快点好起来吧,坚决反对#外国人永久居留管理条例#,中国是中华民族的中国,古有石敬瑭今存yyy，坚决反对#外国人永久居留管理条例# 反对二代洗钱，反对低端劳动力反对超国人待遇,美国的就不要报啦！比日本的数据还假！老美那些喊着“民主”“自由”的虚伪政客们想的更多的是稳定股市，死多少人跟他们没有多大关系！鬼他妈的信啊！,这死亡率，简直了！美国医学不是很发达的么？,美国检测新冠肺炎的费用是3500美元左右，即便有医保自己也需要承担1400美元左右，实在太高了，很多人无法确诊,坚决反对#外国人永久居留管理条例#,坚决反对#外国人永久居留管理条例#,强烈反对《外国人永久居留管理条例（征求意见稿）》在这投票：一、登录中国政府法制信息网（www.moj.gov.cn、www.chinalaw.gov.cn）或者中国法律服务网（www.12348.gov.cn），进入首页“立法意见征集”栏目提出意见。 二、通过电子邮件至： YJJL2020@chinalaw.gov.cn。 显示票被投了直接发表意见,舔狗没动静了？瑞德西韦呢？中医黑呢？这就是你们要的自由民主，说的好像真的自由民主一样,坚决反对#外国人永久居留管理条例#,父亲，慈儿已辞去官职，回归故里，从此再也不回去做官了。时至今日慈儿才明白，若要世道清明，除恶扬善，单凭我等仗义执法，查凶审案，是无济于事的。孩儿已疲惫不已，不堪重负了。唯留下这本书，原想可以帮助后人，辅助大宋，现在……看来也没有必要了，大宋这半壁江山不会久了——《大宋提刑官》,,,,
,,,,,,,,,,,,,,,,,,,,,,
【#他们不只是医护天团#】对一部分抗疫战士而言，在完成日常工作的同时，他们还承担了更多：为了守护无家人看护的儿童患者，他们当起了“临时老师”、“代班妈妈”；为了鼓励患者保持良好心态，他们化身多才多艺的灵魂画手、精灵舞者…辛苦了白衣战士，转发，致敬医护天团！,2020/3/2 23:37,"评论
1366",一线的工作人员真的很伟大，他们也有家人，也有孩子，他们放弃与家人团聚的机会，来到一线的工作岗位，努力打赢这场没有硝烟的战争，我们都知道此刻很难，但都在期盼春暖花开的那一刻，致敬一线的工作人员，致敬那些逆行者！,是超人天团，superman,请向所有的医护人员点点赞，全中国人民点赞起来,向所有在一线的医护人员致敬，一定要平安归来,向奋战在一线的医护人员致敬,致敬医护天团,致敬一线工作者,致敬所有的一线工作人员,致敬白衣天使！,他们就是真正的白衣天使，在这个寒冷的冬天，给我们带来温暖，希望疫情一定要早点解除,致敬医护天团！,致敬医护天团,坚决反对《外国人永久居留管理条例》！引进人才和永居有毛关系？引进人才就要永居？是人才给他月薪一亿人民币也行啊，永居这个口子不能开，不能讨论，更不能征求意见！一个对自己民族实行计划生育政策的民族，是没有资格谈论给外国人永久居留权的！你们能保证人才的下一代还是人才吗？不会是罪犯吗？敢,强烈反对#外国人永久居留管理条例# ！,坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！坚决反对#外国人永久居留管理条例# ！！,1949成立的国家叫“中华人民”共和国 ，背弃这七个字的含义就是叛国 中华人民共和国万岁,太可怕了，反对声音成了外部势力。这盛世如你所愿！,37亿的浏览量，一次热搜没有，能不能报道一下，解释一下，哪怕提一句,,
,,,,,,,,,,,,,,,,,,,,,,
【习近平：通过打这场硬仗，掌握更多核心科技，#拿出更多硬核产品#】习近平总书记2日在北京考察新冠肺炎防控科研攻关工作。他强调，人类同疾病较量最有力的武器就是科学技术，人类战胜大灾大疫离不开科学发展和技术创新。协同推进新冠肺炎防控科研攻关，为打赢疫情防控阻击战提供科技支撑，一起努力！,2020/3/2 23:01,"评论
1260",中国强，中国加油。一起努力。,辛苦了！大大一起加油吖！！！,一起加油！一起努力奋斗！[加油],加油，赶快好起来[加油],中国加油，我们一起努力,一起加油加油加油,打赢疫情防控阻击战！中国必胜！,加大科技攻关力度，打赢这场不能输的人民战争,加油，加油，加油，加油，加油，加油,我们一定可以！,一起加油，打赢这场没有硝烟的战争，加油武汉,会好的 一切都会好的 会过去的 加油,中国在加油 我们齐努力,相信我的国！,一定可以,晚安人民日报,加油冲冲冲！相信我们一定可以战胜任何困难！不断发展！,一起加油,,
,,,,,,,,,,,,,,,,,,,,,,
【痛心！#黑龙江32岁辅警防疫一线牺牲#】据@龙警微博 3月1日，黑龙江七台河市公安局茄子河分局宏伟派出所辅警周明广、于佳昕在岚峰村执行完疫情防控任务后，驾车回派出所，因山道结冰路滑车辆失控，发生单方交通事故。当日21时30分许，周明广经全力抢救无效因公牺牲，年仅32岁。于佳昕正在全力抢救。,2020/3/2 22:28,"评论
4402",走好。,一路走好,不想以这种方式认识每一位英雄,一路走好，心痛！,一路走好！致敬！,一路走好,致敬！一路走好,一路走好,好年轻一路走好,天哪好年轻一路走好,一路走好,一路走好,“愿中国青年都摆脱冷气，只是向上走，不必听自暴自弃者流的话。能做事的做事，能发声的发声。有一份热，发一分光，就令萤火一般，也可以在黑暗里发一点光，不必等候炬火。此后如竟没有炬火，我便是唯一的光。”,中国人的性情是总喜欢调和折中的，譬如你说，这屋子太暗，须在这里开一个窗，大家一定不允许的。但如果你主张拆掉屋顶他们就来调和，愿意开窗了。――《无声的中国》鲁迅,辽宁牺牲了一个，黑龙江又牺牲了一个，给基层减减压吧,每当中华民族遇到外敌的入侵，历史性的灾难时，中华各族儿女都能够团结起来，迎面直上，不怕困难，不俱牺牲。我们之所以能够延续五千年文化不断，能够经历诸多磨难依然屹立在世界前端，是因为背后有我们的亲人，同胞和祖国在支持着我们，他们是我们的依靠，是我们的港湾，也是我们要誓死守护的对象。,辛苦了，影响走好，致敬,政府大哥、求求您了、快给这些辅警们涨涨工资吧、人活着最起码还能多给家里点、人没了有再多也没有用了、咱国家不穷啊、实打实的人在那奋战、无论疫情还是平时、为什么涨个工资怎么就这么的困难！,辅警待遇应该适当提高了！！！,
,,,,,,,,,,,,,,,,,,,,,,
【河南#三村干部私分6箱捐赠方便面被处分#】3月2日，河南许昌市纪委监委公众号“清风莲城”通报，2月5日晚，鄢陵县陶城镇后路村村委副主任刘连春分别给村支部委员刘水营、村监委会主任刘尧打电话，把其二人约至村委会，三人见面后商议，将群众捐赠的19箱桶装方便面中的6箱，各取2箱带回自己家中。次日上午，村委会通知三人把方便面送回至村委会。25日，鄢陵县纪委给予刘连春党内严重警告处分，给予刘水营党内警告处分。陶城镇政府责令刘尧辞去后路村村监委会主任职务。关于鄢陵县陶城镇后路村村委副主任刘连春等人私分捐赠物资问题的通报,2020/3/2 22:03,"评论
6621",不是吧？。？这都不放过 必须严惩,不以恶小而为之，不以善小而不为。由小见大,必须严惩,该罚！,处分的好！,六箱？处分？？？挑软柿子捏？那问一句红十字会怎么处理了？,方便面都不放过？？？,中国人的性情是总喜欢调和折中的，譬如你说，这屋子太暗，须在这里开一个窗，大家一定不允许的。但如果你主张拆掉屋顶他们就来调和，愿意开窗了。――鲁迅《无声的中国》 先把矛盾往你哥身上引，之后再提高一点门槛，大多数人也就接受了。你说妙不妙？,等一下，这方便面是捐的谁的？因为我们村也会捐一下方便面水保暖的大衣给在村口24小时值班的村委会成员和志愿者们，因为感谢他们的付出，这东西就是给他们用的啊,人家分了方便面如果确实不应该，就劝诫批评，也不用上人民日报吧。正经儿该处罚的，倒是没见处罚的报道的这么快。。。,人家24小时值班，一天三顿方便面吃的犯胃病，家里老人小孩没人管，晚上路边睡篷子四面透风，连个军大衣都是自己淘钱买的，因为两箱方便面上人民日报？？？神经病吧！,啼笑皆非，六箱方便面被处分，小蝇子抓了，大老虎也多抓点吧,这都要拿回家？？？,河南干部还是朴实,这捐的方便面本来就是给一线人员吃的，他们这不是多大的过错吧，村干部也很辛苦啊，而且待遇很低，有些功夫还不如关注点其他的,拿两包方便面的都严重警告了，那湖北红十字会的怎么办？,对红十字会我忍气吞声，对村干部我重拳出击[加油],“愿中国青年都摆脱冷气，只是向上走，不必听自暴自弃者流的话。能做事的做事，能发声的发声。有一份热，发一分光，就令萤火一般，也可以在黑暗里发一点光，不必等候炬火。此后如竟没有炬火，我便是唯一的光。”,,
,,,,,,,,,,,,,,,,,,,,,,
【#全球除中国外已确诊新冠肺炎超9000例#】新冠肺炎疫情在全球持续蔓延，目前#除南极洲外六大洲均有确诊患者#。截至目前，全球除中国外共65个国家和地区报告新冠肺炎，累计确诊病例9000余例。其中，韩国累计确诊4335例、意大利累计确诊1694例、伊朗累计确诊1501例、日本累计确诊980例。网页链接,2020/3/2 21:09,"评论
1792",希望不要再扩散了 快点好起来吧,全球蔓延，大家都要好好防疫啊,严防境外输入！！！,全球性的战疫，加油,温度升高后会不会好点？？？,岁月静好！希望一切都好起来！！！世界和平！！！,全球人类命运共同体 加油！,增长的太快了,重视起来吧…,可怕,加油啊,中国是中国人的中国,人类命运共同体不是引进洋垃圾，不要阳奉阴违了。,我们很爱自己的国家文化 中国有十四亿人口 什么样的人才不能选拔培养  好好改善机制 某图发展才是真理 经常在网上发一些言论不是反对党和国家是真的希望自己的祖国好 才会这么着急提意见 爱之深责之切  那些移民来的真的会为中华民族崛起出力吗 没有更好的反应机制 只能刷 这时候搞这些事的人其心可,十一、原地徘徊一千步，抵不上向前迈出第一步；心中想过无数次，不如大干一次。世界上从不缺少空想家，缺的往往是开拓的勇气和勤勉的实干。早安！,全球加速蔓延，还有国家不重视,中国加油！世界加油！,,,
,,,,,,,,,,,,,,,,,,,,,,
"【#伊朗累计确诊新冠肺炎升至1501例#，#伊朗高级官员因感染去世#】据外媒报道，伊朗卫生部发言人贾汉普尔3月2日在国家电视台宣布，过去24小时伊朗境内新增新冠肺炎感染者523例，累计例1501，新增12例死亡，累计达66例。
另据伊朗塔斯尼姆通讯社及多家外媒报道，3月2日上午伊朗最高领袖哈梅内伊的顾问委员会一名官员因感染新冠肺炎去世。这名官员是伊朗确定国家利益委员会的成员赛义德·穆罕默德·米尔穆罕默迪，现年71岁，当天上午因救治无效在德黑兰一家医院去世。有媒体指出，他是该国因新冠肺炎去世的最高级别官员。（周輖）",2020/3/2 19:40,"评论
1130",看到1000+就头疼，这病毒太恐怖了！,我天哪,天呐！希望能控制住,高官也好，平民也好，只希望都能治好啊,疫情快点结束吧……,好可怕,增长太快了,撑住！！！,但使龙城飞将在，不教胡马渡阴山,那些喊着支持的人，一直在说反对的人是带节奏，敢问，你们那些支持的人不是带节奏？别人一鼓舞你们就开始支持？麻烦自己好好看看条例，再来说话，好吗？,吃完饭来骂杨宜勇,苏州真的开始试点了吗,这病毒怎么老是盯着外国高层,窃国大盗杨宜勇,请不要装死请不要装死请不要装死,反对反对，强烈反对,12306真的有证件了吗,,,
,,,,,,,,,,,,,,,,,,,,,,
【外交部：#对外国和本国公民无差别执行措施#】3月2日，外交部发言人赵立坚表示，根据疫情发展情况，中国地方政府还将及时动态调整对外国来华人员入境后的防控措施。我们对外国公民和本国公民一视同仁，无差别地执行相应措施，并且会充分照顾当事人的合理关切，为他们提供必要的保障和协助。 人民日报的微博视频,2020/3/2 19:20,"评论
16958",一视同仁，到中国就要尊重中国的防疫政策，战疫情不论什么国籍都应该一起配合行动。,共同抗疫，一起打赢这场疫情战,方舱医院，雷神山医院，火神山医院都早日关门大吉！！,一视同仁，一定要加强防控！！！,支持，中国加油,中国只能是中国人的中国，中国只能是纯粹的中国人，我们先辈们做了那么多努力牺牲 ，到头来告诉我这个狗屁不通的草案。我知道我的这个评论肯定没了,人民日报！你要是中国人，请为我们发声，上热搜,我们不想，几年以后，路上走的都是奥利奥,洋大人，你们Zf敢管吗？还是多批发点泡菜吧。,“为资本代言的人背后有资本支持有钱有权力，为人民着想的人背后只有人民。”,所谓“多难兴邦”，并非指灾难来的越多越好，而是指每一次灾难以后，社会都会在深刻的反思中补足短板，走向新的征程。,为什么要一视同仁，对国人都没有一视同仁，，为什么要对外国人那么友好，，以前打你的时候，你就不记得了?,应该以中国人优先，而不是逆向歧视,对外国人这么好，外国政府造吗？？,但使龙城飞将在 不教胡马渡阴山,难道不应该本国的优先吗？,,,,
